customer_id,cutoff_k,n_rentals_total,has_future_window,label,n_rentals,overdue_freq,penalty_rate,unpaid_penalty_rate,avg_idle_ratio,recent_overdue_freq
CUST01,1,40,True,0,1,0.0,0.0,0.0,0.3068181818181818,0.0
CUST01,2,40,True,0,2,0.0,0.0,0.0,0.39745670995671,0.0
CUST01,3,40,True,0,3,0.0,0.0,0.0,0.5013347763347764,0.0
CUST01,4,40,True,0,4,0.0,0.0,0.0,0.5565566378066379,0.0
CUST01,5,40,True,0,5,0.0,0.0,0.0,0.4839549876646651,0.0
CUST01,6,40,True,0,6,0.0,0.0,0.0,0.46414238390044843,0.0
CUST01,7,40,True,0,7,0.0,0.0,0.0,0.5019179617105884,0.0
CUST01,8,40,True,0,8,0.0,0.0,0.0,0.5191200769618811,0.0
CUST01,9,40,True,0,9,0.0,0.0,0.0,0.4930057249762176,0.0
CUST01,10,40,True,0,10,0.0,0.0,0.0,0.49153123943511756,0.0
CUST01,11,40,True,0,11,0.0,0.0,0.0,0.49446562892369994,0.0
CUST01,12,40,True,0,12,0.0,0.0,0.0,0.48224566709310174,0.0
CUST01,13,40,True,0,13,0.0,0.0,0.0,0.4757442521418841,0.0
CUST01,14,40,True,0,14,0.0,0.0,0.0,0.49051535431315546,0.0
CUST01,15,40,True,0,15,0.0,0.0,0.0,0.48932948220742994,0.0
CUST01,16,40,True,0,16,0.0,0.0,0.0,0.49981781814089415,0.0
CUST01,17,40,True,0,17,0.0,0.0,0.0,0.49434498536889737,0.0
CUST01,18,40,True,0,18,0.0,0.0,0.0,0.4970018569983361,0.0
CUST01,19,40,True,0,19,0.0,0.0,0.0,0.49806709501475765,0.0
CUST01,20,40,True,0,20,0.0,0.0,0.0,0.4817351688354483,0.0
CUST01,21,40,True,0,21,0.0,0.0,0.0,0.491216878120893,0.0
CUST01,22,40,True,0,22,0.0,0.0,0.0,0.4924182499710128,0.0
CUST01,23,40,True,0,23,0.0,0.0,0.0,0.5105739782331427,0.0
